"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","","""before all"" hook for Cash Funds (Mobile)","","2026-06-04","unknown","","","","",""
"","5667","AB-USD-1.4 Select beneficiary type","Add Beneficiary - Another person (USD) - step by step","2026-09-04","passed","2026-09-04","","","",""
"","72743","opens portfolio page (from Invest)","Portfolio (iOS/Android)","2026-06-09","passed","2026-06-09","","","",""
"","133522","Create virtual card -> success","Virtual card creation - Individual","2026-03-04","broken","2026-03-04","","","",""
"","34683","SEARCH-1.1 Search ""cat"" and verify Carlos Cat","Home Search - Individual","2026-09-18","passed","2026-09-18","","","",""
"","5750","BCW-1.3 Tap Assign Card button","Business Cards - Create New Wallet (TC1717/TC1718/TC1719)","2026-09-02","passed","2026-09-02","","","",""
"","97","CB-1.1 Bank transfer screen is displayed","Cross-Border Payment - SWIFT (Android)","2026-08-11","passed","2026-08-11","","","",""
"","209464","Send P2P by slide (11 EUR)","Bank Transfer - Individual","2026-08-25","passed","2026-08-25","","","",""
"","33106","AUTH-1.1 Incorrect passcode — error message is shown","Authentication - Security","2026-09-01","passed","2026-09-01","","","",""
"","140456","exchanges from EUR to Dollar wallet and verifies Exchanged to USD on home","FX Exchange","2026-08-25","passed","2026-08-25","","","",""
"","","""before all"" hook for Bank Transfer - Individual - SEPA","","2026-09-05","unknown","","","","",""
"","23056","BCCL-2.3 Select Self as assignee","Business Cards - Card Limit Reached (TC1745/TC1747)","2026-08-25","broken","2026-08-25","","","",""
"","182157","create and delete price alert (BMW)","Price Alerts (iOS/Android)","2026-06-06","broken","2026-06-06","","","",""
"","73077","ABS-1.1 Open Add Beneficiary and select Another person (Android)","Add Beneficiary - Another person","2026-09-17","passed","2026-09-17","","","",""
"","7566","ABC-1.9 Verify success modal and close","Business Cards - Assign Physical card","2026-09-03","passed","2026-09-03","","","",""
"","49359","ABS-1.2 Fill beneficiary details and submit (Android)","Add Beneficiary - Another person","2026-09-17","passed","2026-09-17","","","",""
"","","""before all"" hook for Orders (iOS/Android)","","2026-09-16","unknown","","","","",""
"","","""before all"" hook for Cash Funds (iOS)","","2026-04-19","unknown","","","","",""
"","17552","WL-1.1 Add first existing instrument to watchlist (Android)","Watchlist (iOS/Android)","2026-09-05","passed","2026-09-05","","","",""
"","","""before all"" hook for FX Exchange","","2026-08-11","unknown","","","","",""
"","7012","BCF-1.6 Unfreeze the card (TC1739)","Business Cards - Freeze/UnFreeze Other User Virtual Card","2026-09-04","passed","2026-09-04","","","",""
"","24313","ABC-1.11 Freeze created card","Business Cards - Assign Physical card","2026-09-02","broken","2026-09-02","","","",""
"","","""before all"" hook for Bank Transfer - SWIFT Individual","","2026-09-16","unknown","","","","",""
"","44971","FX-1.2 GBP (zero balance): insufficient-balance error shown and exchange button disabled","FX Exchange","2026-08-13","passed","2026-08-13","","","",""
"","8925","HM-STORY-1.4 Verify Storyly widget position","Home Screen - Storyly widget","2026-08-19","passed","2026-08-19","","","",""
"","","""before all"" hook for Bank Transfer - P2P Individual","","2026-09-17","unknown","","","","",""
"","","""before all"" hook for FX Exchange","","2026-08-12","unknown","","","","",""
"","","""before all"" hook for FX Exchange","","2026-08-12","unknown","","","","",""
"","","""before all"" hook for Business Cards - No-Rights User Add Card Blocked","","2026-09-04","unknown","","","","",""
"","10392","AB-USD-1.7 Enter beneficiary name","Add Beneficiary - Another person (USD) - step by step","2026-09-04","passed","2026-09-04","","","",""
"","3586","ABC-1.7 Confirm assignee address and submit","Business Cards - Assign Physical card","2026-07-22","passed","2026-07-22","","","",""
"","2877","HS-SA-1.3 Validate current month spend","Home Screen - Spend Analytics","2026-09-04","passed","2026-09-04","","","",""
"","","""before all"" hook for Business Cards - Create New Wallet (TC1717/TC1718/TC1719)","","2026-09-02","unknown","","","","",""
